0820230510302200000607804RAUL                     DALMAU                   ALIAGA                   M00000000          080S
0820230510302200003004201CARMEN                   MONTERO                  TORTOSA                  F00000000          046S
0820230510302200003004201JORGE AGUSTÍN            GINER                    FERRÁNDIZ                M00000000          040N
0820230510302200003004201LAURA                    VALOR                    TORMO                    F00000000          042N
0820230510302200003004201VICTOR                   OLTRA                    BARRASA                  M00000000          040N
0820230510302200012100400DANIEL PABLO             TEJERO                   OLIVARES                 M00000000          003N
0820230510302200012100400IGNACIO                  MOLLA                    LLIN                     M00000000          004N
0820230510302200012100400MERITXELL                MULAS                    GONZALEZ                 F00000000          006N
0820230510302700000609101ARANTXA                  SEGUI                    MENACHES                 F00000000          091N
0820230510302700000609101IVAN                     MARTINEZ                 JUAN                     M00000000          089N
0820230510302700000609101JORGE                    SEGUI                    SANCHEZ                  M00000000          095S
0820230510302700000609101JUAN LUIS                CANO                     PASCUAL                  M00000000          090N
0820230510302700003010904RAFAELA                  LLORENS                  CEPAS                    F00000000          111S
0820230510302700003010904ROSA MARIA               REIG                     ROMA                     F00000000          112S
0820230510302700003010904VICTOR ENRIQUE           ROMEU                    LLORENS                  M00000000          109S
0820230510302700003010904XAVIER JORDI             JUAN                     SENABRE                  M00000000          106S
0820230510302700012300000ANTONIO                  DOMINGUEZ                DOMINGUEZ                M00000000          000N
0820230510302700012300000JOSEFA                   LLORET                   COSTA                    F00000000          001N
0820230510302700012300000MIGUEL                   BUFORN                   PEREZ                    M00000000          000N
0820230510302700012300000REBECA                   MARTINEZ                 SOLER                    F00000000          000N
0820230510302700012300000TOMAS                    RUBIO                    CLAROS                   M00000000          000N
0820230510303200000606005FRANCISCO JORGE          AZNAR                    JORDA                    M00000000          046S
0820230510303200000606005JOSE CARLOS              BARRACHINA               BERNABEU                 M00000000          059S
0820230510303200000606005MARIA JESUS              GARCIA                   BARRACHINA               F00000000          059S
0820230510303200000606005MIGUEL ANGEL             GARCIA                   GONZALEZ                 M00000000          046S
0820230510303200000606005MIQUEL                   AZNAR                    COMPANY                  M00000000          032S
0820230510303200003001400BLANCA MARÍA             VIDAL                    SONEIRA                  F00000000          012N
0820230510303200003001400FRANCISCO                GARCÍA                   BROTONS                  M00000000          012N
0820230510303200003001400LUIS MIGUEL              MULLOR                   BARBER                   M00000000          018N
0820230510303200012801400CRISEIDA                 CERRADELO                GARCIA                   F00000000          008N
0820230510303200012801400PAU                      TORREGOSA                I COLOMA                 M00000000          021N
0820230510303300000607805ANDREA                   FRACES                   BALAGUER                 F00000000          052S
0820230510303300000607805DAVID                    BLANES                   FRACES                   M00000000          078S
0820230510303300000607805JOSE                     DEVESA                   RIBES                    M00000000          068S
0820230510303300000607805JUAN JOSE                GINER                    POVEDA                   M00000000          055S
0820230510303300000607805MARIA ISABEL             SALES                    GORGUES                  F00000000          061S
