042023051011102399Medina Sidonia                                                                                      003103102400011739000140000949200009492000000430000000000003976000055370000007800000091000068040170000000000000000S
042023051011102499Olvera                                                                                              000600602800007974000110000643500006435000000380000000000002464000035450000003900000059000044340130000000000000000S
042023051011102599Paterna de Rivera                                                                                   003103102400005451000060000445600004454000000060000000000002005000028930000002600000041000034410130000000000000000S
042023051011102699Prado del Rey                                                                                       000600602800005647000070000473400004734000000130000000000001993000027230000003800000102000032050130000000000000000S
042023051011102799El Puerto de Santa María                                                                            002702701000089435001090007083300070836000002510000000000022731000317720000050300000328000383610250000000000000000S
042023051011102899Puerto Real                                                                                         002702701000041963000520003373800033739000000920000000000011491000155830000037400000275000180800210000000000000000S
042023051011102999Puerto Serrano                                                                                      000600602800006971000080000553700005537000000210000000000001571000023910000002800000054000030430130000000000000000S
042023051011103099Rota                                                                                                002702702000029491000380002356900023572000000600000000000007575000105290000018000000183000130640210000000000000000S
042023051011103199San Fernando                                                                                        003103101000094120001130007662800076662000000870000000000023795000329010000055800000386000391140250000000000000000S
042023051011103299Sanlúcar de Barrameda                                                                               003203202000069727000830005565300055651000000980000000000014438000204820000039500000266000265040250000000000000000S
042023051011103399San Roque                                                                                           003303301100033018000350002296500022967000003140000000000007570000107410000018900000185000130890210000000000000000S
042023051011103499Setenil de las Bodegas                                                                              000600602800002675000040000222500002225000000050000000000001055000014840000001300000036000017910110000000000000000S
042023051011103599Tarifa                                                                                              000400401100018564000250001424900014250000002890000000000004584000069050000013400000143000086190170000000000000000S
042023051011103699Torre Alháquime                                                                                     000600602800000803000010000068600000686000000020000000000000297000004360000001200000033000004540070000000000000000S
042023051011103799Trebujena                                                                                           003203202000007010000080000568900005690000000110000000000002433000035140000003500000112000043970130000000000000000S
042023051011103899Ubrique                                                                                             000600602800016383000230001335000013350000000090000000000005456000076370000008300000184000092870170000000000000000S
042023051011103999Vejer de la Frontera                                                                                001501502400012656000180001029200010292000001390000000000003708000052310000012500000094000066490170000000000000000S
042023051011104099Villaluenga del Rosario                                                                             000600602800000462000010000040400000404000000000000000000000195000002730000000300000016000003420070000000000000000S
042023051011104199Villamartín                                                                                         000600602800012095000160001001500010015000000110000000000003788000052540000006400000074000064880170000000000000000S
042023051011104299Zahara                                                                                              000600602800001371000020000115200001152000000020000000000000483000006940000001200000022000008010090000000000000000S
042023051011190199Benalup-Casas Viejas                                                                                003103102400007160000090000590600005901000000280000000000002426000033480000005500000059000041070130000000000000000S
042023051011190299San José del Valle                                                                                  002002002800004453000050000370900003709000000060000000000001602000021700000002900000031000026030110000000000000000S
042023051011190399San Martín del Tesorillo                                                                            003303301100002797000030000188200001882000000770000000000000893000012120000001200000011000013920110000000000000000S
042023051011400199Adamuz                                                                                              002102102600004125000050000336400003364000000330000000000001685000021980000002500000053000027300110000000000000000S
042023051011400299Aguilar de la Frontera                                                                              000200200700013318000170001086000010860000000160000000000004163000057710000010400000172000068460170000000000000000S
042023051011400399Alcaracejos                                                                                         005405403200001493000020000127200001272000000040000000000000595000008070000000300000040000009610090000000000000000S
042023051011400499Almedinilla                                                                                         005505500700002350000030000191200001912000000150000000000000806000012140000001700000019000014970110000000000000000S
042023051011400599Almodóvar del Río                                                                                   005305301200008093000100000636700006366000000140000000000002281000030420000004800000047000038430130000000000000000S
042023051011400699Añora                                                                                               005405403200001509000020000128900001289000000010000000000000683000009050000000900000035000010410090000000000000000S
042023051011400799Baena                                                                                               000700700700018764000210001481300014813000000790000000000005842000080660000012400000268000096330170000000000000000S
042023051011400899Belalcázar                                                                                          005205203200003166000040000268400002684000000110000000000001278000017300000003700000039000020050110000000000000000S
042023051011400999Belmez                                                                                              005205203200002862000040000247800002478000000030000000000000943000013580000002900000051000016500110000000000000000S
042023051011401099Benamejí                                                                                            003803800700004974000060000401000004010000000040000000000001665000024230000002000000053000030020110000000000000000S
042023051011401199Los Blázquez                                                                                        005205203200000661000010000058000000580000000100000000000000276000003880000000500000008000004990070000000000000000S
042023051011401299Bujalance                                                                                           002102102600007257000090000594500005945000000100000000000002389000031480000006400000148000037690130000000000000000S
042023051011401399Cabra                                                                                               001301300700020097000250001636000016360000000280000000000006291000085820000017500000200000101430210000000000000000S
042023051011401499Cañete de las Torres                                                                                002102102600002859000040000241100002411000000100000000000001223000016390000000900000027000019360110000000000000000S
042023051011401599Carcabuey                                                                                           005505500700002367000040000201900002019000000310000000000000934000012800000002000000019000015160110000000000000000S
042023051011401699Cardeña                                                                                             002102103200001455000030000124900001249000000140000000000000639000008470000000900000017000010190090000000000000000S
042023051011401799La Carlota                                                                                          005305301200014324000180001121800011218000000420000000000003949000056200000009100000096000071240170000000000000000S
042023051011401899El Carpio                                                                                           002102102600004353000070000356400003564000000030000000000001684000021520000001400000061000026700110000000000000000S
042023051011401999Castro del Río                                                                                      002102100700007711000100000633600006341000000490000000000002740000037180000005400000094000045670130000000000000000S
042023051011402099Conquista                                                                                           005405403200000380000010000034500000345000000040000000000000156000001910000000800000005000002520070000000000000000S
042023051011402199Córdoba                                                                                             002102101200319515003810026174100261749000012770000000000086989001197670000230500001902001483010290000000000000000S
042023051011402299Doña Mencía                                                                                         001301300700004583000050000382700003827000000060000000000001735000022370000002600000053000026450110000000000000000S
042023051011402399Dos Torres                                                                                          005405403200002402000030000199200001992000000030000000000000999000013210000002700000057000015690110000000000000000S
042023051011402499Encinas Reales                                                                                      003803800700002266000030000185500001855000000040000000000000944000013270000000900000035000015640110000000000000000S
042023051011402599Espejo                                                                                              002102100700003245000050000276100002761000000070000000000001562000019890000002600000073000022930110000000000000000S
042023051011402699Espiel                                                                                              005205203200002423000030000202200002022000000130000000000000858000011700000001600000033000014460110000000000000000S
042023051011402799Fernán-Núñez                                                                                        004204200700009646000120000785900007860000000080000000000003086000043160000010000000157000051360130000000000000000S
042023051011402899Fuente la Lancha                                                                                    005205203200000329000010000031100000311000000010000000000000184000002470000000600000003000002940070000000000000000S
